timestamp;window_ts;tabs_open;tabs_grouped;tabs_ungrouped;switches_within;switches_between;switches_from;switches_to;switches_outside
2020-05-29 08:30:10,359;5302445;3.3;1.0;2.3;0;0;1;2;10
2020-05-29 08:35:15,944;5302446;3.0;1.0;2.0;0;0;0;0;0
2020-05-29 08:40:01,151;5302447;3.142857142857143;1.0;2.142857142857143;0;0;0;0;1
2020-05-29 08:45:06,725;5302448;3.466666666666667;1.4666666666666666;2.0;0;0;0;1;0
2020-05-29 08:50:12,305;5302449;3.0;1.0;2.0;0;0;0;0;0
2020-05-29 08:55:17,883;5302450;3.1333333333333333;1.0666666666666667;2.066666666666667;0;0;0;2;4
2020-05-29 09:00:03,083;5302451;4.071428571428571;1.0;3.0714285714285716;0;0;0;1;20
2020-05-29 09:05:08,651;5302452;3.4;1.5333333333333334;1.8666666666666667;0;0;4;4;3
2020-05-29 09:10:14,222;5302453;3.4;2.0;1.4;0;2;0;2;3
2020-05-29 09:15:19,791;5302454;3.0;2.0;1.0;0;1;0;0;0
2020-05-29 09:20:04,988;5302455;3.9285714285714284;2.0;1.9285714285714286;0;0;2;2;4
2020-05-29 09:25:10,559;5302456;4.0;2.0;2.0;0;1;4;5;1
2020-05-29 09:30:16,128;5302457;3.533333333333333;2.0;1.5333333333333334;0;0;2;2;6
2020-05-29 09:35:01,325;5302458;3.5;2.0;1.5;0;0;0;0;1
2020-05-29 09:40:06,896;5302459;3.6;2.0;1.6;0;0;2;2;15
2020-05-29 09:45:12,459;5302460;4.466666666666667;2.0;2.466666666666667;0;0;0;0;27
2020-05-29 09:50:18,026;5302461;4.0;2.0;2.0;0;0;0;0;1
2020-05-29 09:55:03,226;5302462;4.0;2.0;2.0;0;0;0;0;0
2020-05-29 10:00:08,792;5302463;4.2;2.0;2.2;0;0;0;0;3
2020-05-29 10:05:14,361;5302464;5.0;2.0;3.0;0;0;0;0;8
2020-05-29 10:10:19,928;5302465;5.0;2.0;3.0;0;0;0;0;1
2020-05-29 10:15:05,125;5302466;4.785714285714286;2.0;2.7857142857142856;0;0;0;0;1
2020-05-29 10:20:10,694;5302467;3.0;2.0;1.0;0;0;0;0;0
2020-05-29 10:25:16,264;5302468;3.0;2.0;1.0;0;0;0;0;0
2020-05-29 10:30:01,461;5302469;3.0;2.0;1.0;0;0;0;0;0
2020-05-29 10:35:07,023;5302470;3.1333333333333333;2.0;1.1333333333333333;0;0;0;0;4
2020-05-29 10:40:12,588;5302471;4.0;2.0;2.0;0;1;2;3;1
2020-05-29 10:45:18,153;5302472;4.0;2.0;2.0;0;1;2;2;0
2020-05-29 10:50:03,347;5302473;3.142857142857143;1.6428571428571428;1.5;0;0;3;4;5
2020-05-29 10:55:08,911;5302474;3.0;2.0;1.0;0;2;3;3;0
2020-05-29 11:00:14,478;5302475;2.7333333333333334;1.3333333333333333;1.3333333333333333;0;0;2;2;10
2020-05-29 11:05:20,040;5302476;3.7333333333333334;1.2666666666666666;2.466666666666667;0;0;0;2;25
2020-05-29 11:10:05,234;5302477;3.0;2.0;1.0;0;0;0;0;0
2020-05-29 11:15:10,796;5302478;3.6;2.533333333333333;1.0666666666666667;0;1;0;3;1
2020-05-29 11:20:16,360;5302479;4.0;3.0;1.0;0;2;0;0;0
2020-05-29 11:25:01,552;5302480;4.0;3.0;1.0;0;0;0;0;0
2020-05-29 11:30:07,115;5302481;4.0;3.0;1.0;0;0;0;0;0
2020-05-29 11:35:12,678;5302482;4.866666666666666;3.0;1.8666666666666667;0;0;0;0;1
2020-05-29 11:40:18,239;5302483;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 11:45:03,430;5302484;5.0;3.0;2.0;0;0;0;0;0
